Voltage_(V)	Current_(mA) 
-0.121070143	7.73896E-05
-0.116574529	7.17607E-05
-0.108862139	6.58142E-05
-0.109365196	5.9851E-05
-0.104653794	5.43145E-05
-0.09893536	4.89815E-05
-0.090665199	4.36837E-05
-0.091713793	3.79847E-05
-0.093979037	3.23515E-05
-0.088210304	2.6575E-05
-0.078108144	2.10098E-05
-0.07947603	1.54091E-05
-0.079247424	1.54091E-05
-0.06418847	9.66024E-07
-0.065259159	-6.99071E-07
-0.063551569	-2.19257E-06
-0.064298406	-3.64795E-06
-0.064679949	-5.13571E-06
-0.06011117	-6.62752E-06
-0.066139069	-8.09131E-06
-0.061767422	-9.57031E-06
-0.06202959	-1.1135E-05
-0.064912263	-1.26407E-05
-0.06216895	-1.42363E-05
-0.063261558	-1.42363E-05
-0.027544702	-6.38053E-05
-0.023205037	-6.93719E-05
-0.018343775	-7.47697E-05
-0.021310469	-8.06953E-05
-0.010569242	-8.61521E-05
-0.005258686	-9.19415E-05
-0.003084297	-9.73549E-05
-0.00247725	-0.00010318
-0.001117382	-0.000109022
0.01163434	-0.000114898
0.006067078	-0.000120806
0.006640883	-0.000126569
0.018329843	-0.000132561
0.023910188	-0.000138198
0.025468333	-0.000144154
0.023436892	-0.000150333
0.032821667	-0.000156033
0.040263723	-0.000162354
0.039948393	-0.000168229
0.037027105	-0.000174641
0.041903263	-0.000180932
0.049049017	-0.000187631
0.053157391	-0.000187631
0.093923713	-0.000310951
0.103201962	-0.00033402
0.107469087	-0.00035949
0.111125247	-0.000388303
0.117607327	-0.000420006
0.121475646	-0.000454975
0.124278001	-0.000493859
0.125240344	-0.000536113
0.138765287	-0.000582304
0.135313267	-0.000632324
0.136344152	-0.000683181
0.140674319	-0.000741104
0.150918129	-0.000802381
0.154401295	-0.000867123
0.156132204	-0.00093837
0.155345587	-0.001012386
0.15922519	-0.001088995
0.163354231	-0.001173391
0.167763729	-0.00125855
0.169045625	-0.001344131
0.170747294	-0.001422409
0.169628853	-0.001515961
0.175615964	-0.001614281
0.179586005	-0.001710412
0.178834182	-0.001805377
0.184946312	-0.001805377
0.231898206	-0.00540238
0.239953837	-0.005861804
0.24172097	-0.006318388
0.243055371	-0.006802796
0.249892909	-0.007318473
0.254502971	-0.007858913
0.256244126	-0.008385464
0.258058041	-0.008940278
0.269894094	-0.009512219
0.271194759	-0.010085896
0.268005534	-0.010676653
0.272988466	-0.011314947
0.281605514	-0.011961164
0.279816961	-0.012629454
0.28166483	-0.013285531
0.283696814	-0.013940617
0.298359575	-0.014608012
0.296341162	-0.015288275
0.299917906	-0.015984244
0.295249525	-0.016707912
0.31116339	-0.017424664
0.310974798	-0.018151405
0.311725666	-0.018904968
0.309957226	-0.018904968
0.370921244	-0.031167852
0.374284644	-0.032551517
0.382496911	-0.034002194
0.380518581	-0.035427618
0.391324037	-0.036949236
0.399846202	-0.038428734
0.396169879	-0.039986877
0.408395413	-0.041549915
0.413394441	-0.043155657
0.414933388	-0.044733631
0.427361313	-0.046346654
0.425107629	-0.047970517
0.427081456	-0.049681524
0.440899944	-0.051359363
0.443741837	-0.053092337
0.444727952	-0.054784098
0.45466984	-0.056549328
0.454736378	-0.058289929
0.461084147	-0.060032529
0.468826291	-0.06186642
0.469197706	-0.063713489
0.475723817	-0.065536174
0.483850141	-0.067341297
0.483447408	-0.069239682
