Voltage_(V)	Current_(mA) 
-0.19217945	0.033698689
-0.186582937	0.033397569
-0.172784691	0.032865602
-0.171394281	0.032515588
-0.168304898	0.032217635
-0.150560726	0.031678119
-0.147851043	0.03132103
-0.14488791	0.031017388
-0.130393137	0.030452112
-0.128712485	0.030130378
-0.120641618	0.029819641
-0.10710595	0.029235561
-0.102660079	0.028905779
-0.097758789	0.028581781
-0.081779297	0.027989904
-0.085467302	0.02769103
-0.0770161	0.027347548
-0.060975968	0.026749976
-0.059655812	0.026462174
-0.052370446	0.026098352
-0.042758871	0.025520434
-0.039578012	0.025230078
-0.036551058	0.024882092
-0.020046996	0.02428025
-0.016965549	0.024007153
-0.006436833	0.023560243
0.001205	0.023036317
0.007408973	0.02278338
0.009728823	0.022356551
0.023517858	0.021849203
0.024654576	0.021550704
0.03196893	0.021131135
0.049093055	0.020605243
0.047940399	0.02032852
0.053974991	0.019922013
0.069971554	0.019411905
0.068887533	0.019126449
0.073481351	0.018701592
0.086743733	0.018183319
0.092646344	0.017917238
0.097991394	0.017554705
0.108845295	0.017008951
0.111115772	0.016699478
0.117361363	0.016324356
0.132487088	0.015780304
0.131078406	0.015499034
0.138019249	0.015103728
0.153986934	0.014569935
0.155765377	0.014270135
0.165671653	0.013858236
0.175282353	0.013336443
0.178512831	0.013048952
0.190831713	0.01257621
0.201000216	0.012083974
0.196605522	0.011811923
0.206706241	0.011341498
0.220048321	0.01085733
0.219028676	0.010549836
0.229512576	0.010046816
0.241789301	0.009596322
0.245683886	0.009289184
0.254006704	0.008767901
0.262888633	0.008338546
0.261592148	0.008039365
0.276113637	0.007483495
0.288376868	0.007093094
0.284275836	0.006761039
0.299273748	0.006208171
0.304229577	0.005824062
0.309311669	0.005508734
0.324593798	0.005220427
0.352082022	0.002670777
0.357013585	0.00240042
0.367889127	0.001973264
0.371088849	0.001740956
0.373713889	0.001575514
0.370469112	0.001398775
0.381506402	0.001123934
0.39117271	0.000723158
0.39391139	0.000511681
0.392966675	0.000501383
0.394324006	7.17028E-05
0.393397033	3.54505E-05
0.394933047	4.03874E-07
0.391806905	-3.35065E-05
0.397373903	-8.18901E-05
0.393782966	-0.000123515
0.392702915	-0.000180379
0.398866659	-0.00023307
0.401135289	-0.000282898
0.398773467	-0.000372714
0.401510889	-0.000444304
0.408072769	-0.000485158
0.456906414	-0.003016947
0.455968099	-0.003179421
0.456463122	-0.00336766
0.465997861	-0.003623341
0.473507115	-0.0040041
0.480283993	-0.004228716
0.477084307	-0.004403694
0.482166577	-0.004580733
0.486580685	-0.00487256
0.496298753	-0.005221537
0.49860531	-0.005429328
0.504104647	-0.0056019
0.501810854	-0.005796656
0.515171646	-0.005947248
0.593122402	-0.010256313
0.606618667	-0.010796889
0.612399156	-0.011148787
0.615682386	-0.011509181
0.626371225	-0.012055782
0.630781272	-0.012370515
0.634307676	-0.012765678
0.647966742	-0.013310202
0.649463664	-0.013625015
0.657388357	-0.014044274
0.67601578	-0.014616461
0.675829219	-0.0149186
0.680263184	-0.015379415
0.69200815	-0.015957316
0.699631604	-0.016287472
